source,target,weight
"Roma","Milano",0.9359062624587283
"Roma","Napoli",0.9524708858074413
"Roma","Torino",0.9473751532182632
"Roma","Palermo",0.7900368929513477
"Roma","Genova",0.9062318745053961
"Roma","Bologna",0.8371042078524162
"Roma","Firenze",0.9389349537050247
"Roma","Bari",0.8515051353621368
"Roma","Catania",0.9072854025412043
"Roma","Pisa",0.8919232620862712
"Milano","Napoli",0.935372788734162
"Milano","Torino",0.9598411924675002
"Milano","Palermo",0.7381766612725423
"Milano","Genova",0.8641988389750975
"Milano","Bologna",0.7964727586217436
"Milano","Firenze",0.8686189835778065
"Milano","Bari",0.8874118775722902
"Milano","Catania",0.8193652657971302
"Milano","Pisa",0.9142208676431804
"Napoli","Torino",0.9522627131902704
"Napoli","Palermo",0.6909869647195075
"Napoli","Genova",0.8740978592705424
"Napoli","Bologna",0.7662178220860028
"Napoli","Firenze",0.8683990766891941
"Napoli","Bari",0.8706421550291263
"Napoli","Catania",0.875717733124662
"Napoli","Pisa",0.8805961829274891
"Torino","Palermo",0.7044392874981036
"Torino","Genova",0.9150152541951357
"Torino","Bologna",0.7963534776599565
"Torino","Firenze",0.9124738660240419
"Torino","Bari",0.9388086394133652
"Torino","Catania",0.860785110963316
"Torino","Pisa",0.9286888877308005
"Palermo","Genova",0.7136689303486917
"Palermo","Bologna",0.8974072240269755
"Palermo","Firenze",0.6832178863693207
"Palermo","Bari",0.6435796565504154
"Palermo","Catania",0.786321756035713
"Palermo","Pisa",0.6155424891862493
"Genova","Bologna",0.78801551546241
"Genova","Firenze",0.9053228299319238
"Genova","Bari",0.8465685076322146
"Genova","Catania",0.8197669193048885
"Genova","Pisa",0.876937263518034
"Bologna","Firenze",0.8010300413272351
"Bologna","Bari",0.7362397458899101
"Bologna","Catania",0.7603142754256763
"Bologna","Pisa",0.7405129664897191
"Firenze","Bari",0.8359343739308497
"Firenze","Catania",0.7937114300129803
"Firenze","Pisa",0.8990094669567023
"Bari","Catania",0.7622841690620515
"Bari","Pisa",0.878541516336246
"Catania","Pisa",0.7159833814421492
