topic,word,frequency
influencer,amore,0.7953410148620605
influencer,super,0.7919982671737671
influencer,selfie,0.7820515632629395
influencer,fondo,0.7743436694145203
influencer,abbigliamento,0.7740516662597656
influencer,finalmente,0.7740277051925659
influencer,amp,0.7710661888122559
influencer,food,0.7701784372329712
influencer,estate,0.7679579854011536
influencer,vista,0.7635684609413147
foto,cose,0.9011272192001343
foto,storie,0.8963823318481445
foto,sue,0.8883291482925415
foto,stories,0.8744630217552185
foto,mettere,0.874169111251831
foto,vedere,0.8713052868843079
foto,farsi,0.8707267045974731
foto,ste,0.870427131652832
foto,mentre,0.8700039386749268
foto,tutte,0.8655966520309448
instagram,facebook,0.8236498236656189
instagram,database,0.8171200752258301
instagram,online,0.8166747093200684
instagram,account,0.8026915192604065
instagram,celebrità,0.8026295900344849
instagram,alcuna,0.8014197945594788
instagram,amazon,0.7866296768188477
instagram,stati,0.7846696376800537
instagram,protezione,0.783865213394165
instagram,informazioni,0.7805688381195068
politica,taylor,0.9665347337722778
politica,sinistra,0.9653293490409851
politica,ex,0.9639555215835571
politica,forse,0.9584657549858093
politica,idea,0.9582247734069824
politica,fatta,0.9578462839126587
politica,pensa,0.9574987888336182
politica,é,0.9571508169174194
politica,francesca,0.9567126035690308
politica,figura,0.9559668898582458
marketing,osservatorio,0.8260176181793213
marketing,trend,0.8121569752693176
marketing,assolombarda,0.8115726709365845
marketing,branding,0.8098334074020386
marketing,personal,0.8087102174758911
marketing,nazionale,0.8081740140914917
marketing,report,0.807841420173645
marketing,digital,0.8074041604995728
marketing,startup,0.8069890737533569
marketing,matteopogliani,0.8057107925415039
fake,interessi,0.9860879778862
fake,genitori,0.984709620475769
fake,reali,0.9846075773239136
fake,numeri,0.9844661951065063
fake,servizi,0.984173059463501
fake,noti,0.9834955930709839
fake,bot,0.9821833372116089
fake,propri,0.9821605682373047
fake,oimn,0.9819908738136292
fake,piú,0.9818979501724243
fashion,look,0.922430694103241
fashion,divad_p,0.9002598524093628
fashion,style,0.8920519351959229
fashion,modadonna,0.87983238697052
fashion,moda,0.8742348551750183
fashion,lifestyle,0.8737103939056396
fashion,instagrammer,0.8712614178657532
fashion,blogger,0.8704915046691895
fashion,chanel,0.8668306469917297
fashion,igers,0.8623118996620178
lavoro,meccanico,0.9047264456748962
lavoro,preferisco,0.8833519220352173
lavoro,immigrati,0.8810222148895264
lavoro,tempo,0.857109546661377
lavoro,immigrato,0.8527336120605469
lavoro,pagato,0.8495186567306519
lavoro,corriere,0.8400163650512695
lavoro,paese,0.8397797346115112
lavoro,duro,0.8371847867965698
lavoro,mestiere,0.8371301889419556
salvini,carlocalenda,0.931219756603241
salvini,ministro,0.9288462400436401
salvini,politico,0.9243465662002563
salvini,renzi,0.9172064661979675
salvini,vero,0.9164642095565796
salvini,matteosalvinimi,0.9085464477539062
salvini,diventato,0.906840443611145
salvini,interno,0.9053924679756165
salvini,repubblica,0.9050283432006836
salvini,lui,0.8992740511894226
musica,puglia,0.9848381280899048
musica,bikini,0.9835874438285828
musica,editoriale,0.9824874997138977
musica,house,0.9824357628822327
musica,stilista,0.9821757078170776
musica,aggiornata,0.9818481206893921
musica,mobile,0.981590986251831
musica,kylie,0.9814934730529785
musica,logo,0.9814623594284058
musica,rimini,0.9812198877334595
sport,digitalpr,0.9912542700767517
sport,user,0.990559458732605
sport,racconto,0.9905283451080322
sport,generated,0.989949107170105
sport,practice,0.9886170625686646
sport,editoriale,0.9883646965026855
sport,mobile,0.9882872700691223
sport,alisonbringe,0.9882364869117737
sport,internazionali,0.988213300704956
sport,autenticità,0.9880868196487427
